course_id,title,department,level,credits
ACCT-166,SPECIAL PROBLEM,ACCT,UG,3
ACCT-200,Survey of Accounting,ACCT,UG,3
ACCT-201,The Accounting Experience,ACCT,UG,3
ACCT-207,Accounting I,ACCT,UG,3
ACCT-208,Accounting II,ACCT,UG,3
ACCT-235,Community Audit,ACCT,UG,3
ACCT-266,SPECIAL PROBLEM,ACCT,UG,3
ACCT-267,SEMINAR,ACCT,UG,3
ACCT-302,Accounting Information Systems,ACCT,UG,3
ACCT-305,Information Security and Risk Management,ACCT,UG,3
ACCT-313,Taxation for Business and Investment Planning,ACCT,UG,3
ACCT-315,Intermediate Accounting I,ACCT,UG,3
ACCT-316,Intermediate Accounting II,ACCT,UG,3
ACCT-320,Professional Ethics and Responsibility,ACCT,UG,3
ACCT-327,Cost Accounting,ACCT,UG,3
ACCT-350,Business Law I,ACCT,UG,3
ACCT-351,Business Law II,ACCT,UG,3
ACCT-352,Law and Social Issues in Business,ACCT,UG,3
ACCT-363,Service Learning and Earned Income Tax Credit,ACCT,UG,3
ACCT-364,Accounting in Practice,ACCT,UG,3
ACCT-366,Independent Study,ACCT,UG,3
ACCT-367,SEMINAR,ACCT,UG,3
ACCT-395,Seminar: International Accounting,ACCT,UG,3
ACCT-402,Big Data Technologies,ACCT,UG,3
ACCT-405,Current Issues in Management Information Systems,ACCT,UG,3
ACCT-410,Theory of External Reporting,ACCT,UG,3
ACCT-413,Income Tax Accounting,ACCT,UG,3
ACCT-414,Advanced Federal Taxation,ACCT,UG,3
ACCT-415,Advanced Accounting,ACCT,UG,3
ACCT-416,Fiduciary Income Tax,ACCT,UG,3
ACCT-417,Auditing,ACCT,UG,3
ACCT-418,Estate Planning,ACCT,UG,3
ACCT-420,Theory of External Reporting and Applications,ACCT,UG,3
ACCT-425,Strategic Information Systems and Accounting,ACCT,UG,3
ACCT-433,Internal Auditing,ACCT,UG,3
ACCT-516,Seminar-Intermediate Topics,ACCT,GR,3
ACCT-566,Special Problem,ACCT,GR,3
ACCT-567,Seminar,ACCT,GR,3
ACCT-600,Financial Reporting and Analysis,ACCT,GR,3
ACCT-601,Management Accounting and Control,ACCT,GR,3
ACCT-602,Big Data Technologies,ACCT,GR,3
ACCT-604,Database Design and Implementation,ACCT,GR,3
ACCT-605,Current Issues In Emerging Technologies,ACCT,GR,3
ACCT-606,"Object-oriented Systems Analysis, Design and Implementation",ACCT,GR,3
ACCT-610,Financial Reporting I,ACCT,GR,3
ACCT-611,Financial Reporting II,ACCT,GR,3
ACCT-612,Financial Reporting III,ACCT,GR,3
ACCT-613,Federal Taxation of Income and Property Transactions,ACCT,GR,3
ACCT-614,Advanced Federal Taxation,ACCT,GR,3
